date,open,high,low,close
16/03/2020 22:40,6.4396,6.4401,6.4358,6.4368
16/03/2020 22:50,6.4368,6.4369,6.431,6.4311
16/03/2020 23:00,6.4311,6.4336,6.425,6.4287
16/03/2020 23:10,6.4287,6.4305,6.4245,6.429
16/03/2020 23:20,6.429,6.4305,6.4248,6.4256
16/03/2020 23:30,6.4256,6.4326,6.4256,6.431
16/03/2020 23:40,6.4306,6.4317,6.4252,6.4279
16/03/2020 23:50,6.4279,6.4304,6.4256,6.429
17/03/2020 00:00,6.429,6.432,6.4247,6.4288
17/03/2020 00:10,6.429,6.4294,6.4219,6.4263
17/03/2020 00:20,6.4263,6.4303,6.4196,6.4261
17/03/2020 00:30,6.4261,6.4313,6.4213,6.4305
17/03/2020 00:40,6.4305,6.437,6.422,6.4293
17/03/2020 00:50,6.4293,6.4412,6.4279,6.4303
17/03/2020 01:00,6.4303,6.4315,6.4211,6.4245
17/03/2020 01:10,6.4247,6.4337,6.4214,6.4304
17/03/2020 01:20,6.4304,6.4376,6.4256,6.4309
17/03/2020 01:30,6.4308,6.4325,6.4277,6.4299
17/03/2020 01:40,6.4299,6.433,6.4283,6.4326
17/03/2020 01:50,6.4326,6.433,6.4287,6.4302
17/03/2020 02:00,6.4302,6.4307,6.4284,6.4299
17/03/2020 02:10,6.4297,6.4335,6.4292,6.4299
17/03/2020 02:20,6.4299,6.4333,6.4282,6.433
17/03/2020 02:30,6.433,6.4331,6.4301,6.4308
17/03/2020 02:40,6.4308,6.4325,6.4298,6.4313
17/03/2020 02:50,6.4313,6.4329,6.4297,6.4307
17/03/2020 03:00,6.4307,6.4319,6.4291,6.4291
17/03/2020 03:10,6.4291,6.4291,6.4251,6.4271
17/03/2020 03:20,6.4272,6.4276,6.4243,6.4274
17/03/2020 03:30,6.4274,6.4282,6.423,6.4244
17/03/2020 03:40,6.4237,6.4243,6.4219,6.4241
17/03/2020 03:50,6.4241,6.4259,6.4233,6.4252
17/03/2020 04:00,6.4252,6.4255,6.4227,6.4244
17/03/2020 04:10,6.4244,6.4265,6.4236,6.4256
17/03/2020 04:20,6.4256,6.4304,6.4229,6.4246
17/03/2020 04:30,6.4246,6.4272,6.4246,6.4253
17/03/2020 04:40,6.4253,6.4263,6.4236,6.4253
17/03/2020 04:50,6.4253,6.4279,6.4236,6.4254
17/03/2020 05:00,6.4254,6.4289,6.4252,6.4259
17/03/2020 05:10,6.4259,6.429,6.4242,6.4259
17/03/2020 05:20,6.4259,6.429,6.4241,6.4259
17/03/2020 05:30,6.4259,6.4297,6.4246,6.4251
17/03/2020 05:40,6.4253,6.4267,6.4247,6.4249
17/03/2020 05:50,6.426,6.4293,6.4247,6.4259
17/03/2020 06:00,6.4257,6.4286,6.424,6.426
17/03/2020 06:10,6.4259,6.4294,6.4254,6.4269
17/03/2020 06:20,6.4269,6.4374,6.4261,6.4312
17/03/2020 06:30,6.4312,6.4324,6.425,6.4265
17/03/2020 06:40,6.4265,6.4286,6.4252,6.4275
17/03/2020 06:50,6.4275,6.4305,6.4271,6.4294
17/03/2020 07:00,6.4294,6.4313,6.4229,6.4249
17/03/2020 07:10,6.4249,6.4277,6.4241,6.426
17/03/2020 07:20,6.426,6.4277,6.4232,6.4237
17/03/2020 07:30,6.4237,6.4294,6.4231,6.4289
